caseid,Age_group,Sex,Province,Household_size,Find_job,Further_schooling,Morejob,Activity,Media,Stress
1,45 to 54,Female,Saskatchewan,Four household members,notask,Yes,None,Sometime,No time,1
2,35 to 44,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
3,45 to 54,Male,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
4,45 to 54,Male,Quebec,One household member,notask,Yes,None,Sometime,Sometime,0
5,65 to 74,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
6,35 to 44,Male,Manitoba,Four household members,notask,Yes,None,No time,Sometime,0
7,35 to 44,Female,Quebec,Four household members,notask,No,None,No time,Sometime,1
8,15 to 24,Female,Newfoundland and Labrador,Four household members,notask,No,None,No time,Sometime,1
9,65 to 74,Male,Saskatchewan,Two household members,notask,No,None,No time,Sometime,0
10,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
11,25 to 34,Male,Alberta,One household member,notask,Yes,None,No time,Sometime,1
12,35 to 44,Female,Alberta,Three household members,notask,Yes,None,No time,Sometime,0
13,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
14,65 to 74,Female,British Columbia,One household member,notask,No,None,Sometime,Sometime,0
15,15 to 24,Male,Quebec,Three household members,notask,Yes,None,Sometime,No time,1
16,35 to 44,Male,Ontario,Five household members,notask,Yes,None,No time,Sometime,1
17,45 to 54,Male,Saskatchewan,Two household members,asked,No,None,No time,Sometime,0
18,45 to 54,Male,Quebec,One household member,notask,Yes,Yes,Sometime,Sometime,0
19,35 to 44,Female,Quebec,One household member,notask,Yes,None,No time,Sometime,1
20,45 to 54,Female,Manitoba,Two household members,notask,No,None,Sometime,Sometime,1
21,45 to 54,Male,British Columbia,Six household members or more,notask,Yes,None,Sometime,Sometime,1
22,75 years and over,Female,Prince Edward Island,Two household members,notask,Yes,None,No time,Sometime,0
23,45 to 54,Male,Newfoundland and Labrador,Two household members,asked,Yes,None,Sometime,Sometime,1
24,55 to 64,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
25,35 to 44,Female,Nova Scotia,Four household members,notask,No,None,No time,No time,0
26,45 to 54,Female,Ontario,Three household members,notask,Yes,None,No time,Sometime,0
27,35 to 44,Male,Ontario,Five household members,notask,Yes,None,No time,Sometime,1
29,55 to 64,Male,Alberta,Two household members,notask,Yes,None,Sometime,No time,0
30,75 years and over,Female,Saskatchewan,One household member,notask,Yes,None,No time,Sometime,0
31,25 to 34,Female,Newfoundland and Labrador,Three household members,notask,Yes,None,Sometime,Sometime,0
32,65 to 74,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
33,75 years and over,Female,Alberta,One household member,notask,No,None,No time,Sometime,0
34,35 to 44,Male,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
35,65 to 74,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
36,55 to 64,Male,Ontario,Two household members,notask,No,None,No time,Sometime,1
37,75 years and over,Female,Ontario,One household member,notask,No,None,No time,Sometime,0
38,75 years and over,Male,Manitoba,Two household members,notask,Yes,None,No time,Sometime,0
39,65 to 74,Male,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
40,55 to 64,Male,Newfoundland and Labrador,Two household members,notask,Yes,None,Sometime,Sometime,0
41,45 to 54,Male,Quebec,One household member,notask,Yes,None,Sometime,Sometime,1
42,75 years and over,Female,Quebec,One household member,notask,Yes,None,Sometime,Sometime,0
43,55 to 64,Male,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,1
44,75 years and over,Female,British Columbia,Two household members,notask,No,None,Sometime,Sometime,0
45,55 to 64,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
46,45 to 54,Male,British Columbia,Six household members or more,notask,Yes,None,Sometime,Sometime,0
48,65 to 74,Male,Saskatchewan,Two household members,notask,No,None,Sometime,Sometime,0
49,55 to 64,Female,Quebec,One household member,notask,No,None,Sometime,Sometime,0
50,35 to 44,Female,New Brunswick,Two household members,notask,No,None,Sometime,Sometime,1
52,55 to 64,Male,British Columbia,Two household members,asked,Yes,None,No time,Sometime,0
54,15 to 24,Male,Alberta,Four household members,notask,Yes,None,Sometime,Sometime,1
55,65 to 74,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
56,25 to 34,Female,Newfoundland and Labrador,One household member,notask,Yes,None,No time,Sometime,0
57,35 to 44,Female,Quebec,Three household members,notask,Yes,None,Sometime,Sometime,1
58,15 to 24,Male,Alberta,Four household members,notask,Yes,None,Sometime,Sometime,0
59,75 years and over,Female,Quebec,One household member,notask,Yes,None,Sometime,Sometime,0
60,25 to 34,Male,Saskatchewan,Four household members,notask,No,None,No time,Sometime,0
61,45 to 54,Female,Newfoundland and Labrador,Three household members,notask,Yes,None,No time,Sometime,1
62,45 to 54,Female,Alberta,One household member,notask,Yes,None,Sometime,Sometime,0
63,65 to 74,Male,Nova Scotia,Two household members,notask,Yes,None,No time,Sometime,0
64,35 to 44,Male,Prince Edward Island,Two household members,notask,Yes,None,Sometime,No time,1
65,55 to 64,Male,Alberta,Two household members,notask,No,None,Sometime,Sometime,1
66,35 to 44,Female,British Columbia,Four household members,notask,Yes,None,Sometime,Sometime,1
67,55 to 64,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
68,55 to 64,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,0
69,45 to 54,Female,Ontario,Three household members,notask,No,None,Sometime,Sometime,0
70,35 to 44,Male,Newfoundland and Labrador,One household member,notask,Yes,None,Sometime,Sometime,1
71,75 years and over,Male,Manitoba,Three household members,notask,Yes,None,Sometime,Sometime,0
72,55 to 64,Male,Ontario,One household member,notask,Yes,None,No time,Sometime,0
73,55 to 64,Male,Saskatchewan,Three household members,notask,No,None,Sometime,Sometime,1
74,65 to 74,Male,Saskatchewan,Two household members,notask,No,None,No time,No time,1
76,65 to 74,Female,Ontario,Two household members,notask,No,None,No time,Sometime,1
77,15 to 24,Male,New Brunswick,Two household members,notask,No,None,No time,Sometime,1
78,65 to 74,Female,Manitoba,Two household members,notask,Yes,None,No time,Sometime,0
79,75 years and over,Female,Saskatchewan,One household member,notask,Yes,None,Sometime,Sometime,0
80,45 to 54,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,1
81,15 to 24,Male,Ontario,Three household members,notask,No,None,Sometime,Sometime,0
82,45 to 54,Female,Alberta,Two household members,notask,Yes,Yes,Sometime,Sometime,0
83,35 to 44,Female,British Columbia,Four household members,notask,Yes,None,No time,No time,1
